MOD15A2H.A2000137.h10v09.006.2020042222321.Fpar_500m,MOD15A2H,A2000137,Lat-3.834436Lon-73.31897Samp17Line17,2020042222321,F,F,F,0.27,0.28,0.46,0.46,F,F,F,F,F,F,F,0.83,0.9,0.9,F,F,F,0.24,0.24,0.45,0.36,0.24,0.24,0.38,0.79,0.89,0.85,0.85,F,0.81,F,0.43,0.43,F,0.11,0.24,F,F,F,0.16,0.35,F,F,0.8,0.8,F,0.79,0.79,0.43,0.43,0.87,0.61,0.11,0.11,0.16,0.51,0.51,F,F,F,0.82,0.82,0.79,F,F,0.88,0.88,F,0.11,0.11,0.45,0.21,0.51,0.51,F,F,F,F,F,0.79,0.75,F,F,F,0.9,F,0.11,0.45,F,F,F,F,F,F,F,F,0.79,0.75,0.75,F,F,0.9,F,0.29,0.53,F,F,F,0.49,F,F,F,0.85,0.85,F,F,F,F,0.45,0.54,F,0.11,0.57,0.9,F,F,F,F,F,F,F,0.86,0.86,F,F,F,F,F,F,F,0.9,0.83,0.83,F,F,F,F,F,0.87,0.86,0.59,0.59,0.54,0.5,F,F,F,F,0.89,0.89,F,F,F,F,F,0.87,0.87,F,0.86,0.54,0.5,0.46,0.54,F,F,F,F,F,F,F,F,F,0.86,0.86,0.63,0.56,0.56,0.34,0.34,0.21,F,F,F,F,F,F,0.87,0.84,0.84,F,F,0.68,0.63,0.63,0.46,0.46,0.88,0.84,F,F,F,F,0.84,0.84,0.85,0.85,F,F,0.51,0.6,0.6,0.52,F,0.88,0.84,0.84,0.87,0.87,F,F,F,0.86,0.85,F,F,0.67,0.75,0.6,0.5,F,0.88,0.81,0.81,F,F,F,F,F,0.86,0.86,F,F,0.87,0.88,0.75,0.73,0.73,0.89,F,F,F,F,F,F,F,F,F,F,F,0.89,0.88,0.78,0.78,0.78,0.86,0.55,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2000145.h10v09.006.2020043013753.Fpar_500m,MOD15A2H,A2000145,Lat-3.834436Lon-73.31897Samp17Line17,2020043013753,0.43,F,F,0.43,0.3,0.34,0.56,F,F,F,F,F,F,F,F,0.89,F,0.43,0.43,F,0.26,0.24,0.58,0.56,0.27,0.27,0.27,0.25,F,F,F,0.88,0.88,F,F,0.35,F,0.58,0.54,F,F,F,0.24,0.26,F,F,F,F,0.88,0.88,F,F,F,0.88,0.7,0.54,0.16,F,0.14,0.26,F,F,F,F,F,F,F,0.9,0.89,0.89,0.89,0.2,0.67,0.67,0.05,F,0.26,F,F,F,F,F,F,F,F,0.89,0.9,0.9,F,0.15,0.11,F,F,F,0.63,F,F,F,F,F,F,F,0.33,F,0.86,F,0.21,0.21,F,F,F,0.66,F,F,F,F,F,F,F,0.7,0.34,0.6,0.6,F,0.37,0.44,F,F,F,F,F,F,0.58,0.88,F,F,0.44,0.38,0.38,0.56,F,F,F,F,F,F,0.89,0.88,0.88,0.58,0.88,0.89,0.89,0.68,0.34,0.34,0.22,0.47,F,F,F,F,F,0.89,F,F,F,F,0.89,0.89,0.9,0.89,0.76,0.34,0.5,0.57,0.9,0.9,0.88,0.88,0.89,F,F,F,0.86,F,F,0.51,0.43,0.56,0.56,0.48,0.73,0.89,0.89,0.88,0.89,0.89,F,F,F,F,F,F,0.67,0.75,0.4,0.4,0.24,0.9,F,F,F,0.88,0.88,0.87,0.85,0.85,F,F,F,0.61,F,0.51,0.3,F,F,F,0.87,F,0.9,0.9,F,F,F,0.87,0.86,F,0.38,0.2,F,F,F,F,0.9,0.87,0.89,0.88,0.88,F,F,F,0.87,0.86,0.88,0.9,F,0.71,0.71,F,F,F,F,0.89,0.88,0.88,F,0.83,F,0.89,0.89,0.89,0.9,F,0.22,0.71,0.22,0.9,0.9,0.89,0.88,0.88,0.88,0.88,0.83,0.89,0.89,F,F
MOD15A2H.A2000153.h10v09.006.2020045215514.Fpar_500m,MOD15A2H,A2000153,Lat-3.834436Lon-73.31897Samp17Line17,2020045215514,F,0.72,F,0.33,0.33,0.5,0.68,F,F,F,F,F,F,0.78,0.79,F,F,0.86,F,F,0.55,0.33,0.33,0.77,F,0.7,F,0.56,F,F,F,F,F,F,F,0.83,F,0.55,0.34,F,F,F,F,F,F,F,F,F,F,F,F,0.79,0.85,0.85,F,0.59,F,F,0.93,F,F,F,0.9,F,F,F,F,F,0.89,0.89,0.89,0.48,0.63,F,F,0.75,0.75,F,F,F,F,F,F,F,F,0.9,F,F,0.89,F,0.71,F,0.9,F,F,F,0.9,0.85,0.83,F,F,0.84,0.68,0.48,F,F,F,0.71,F,F,F,0.33,0.35,0.89,0.89,0.83,F,F,F,0.53,0.45,0.65,0.65,F,F,0.58,F,F,F,0.85,0.89,0.89,0.89,F,F,F,0.22,0.62,0.38,0.36,F,F,F,0.89,F,0.89,0.89,0.89,F,F,F,F,F,0.56,0.43,0.25,0.3,0.45,F,F,0.89,0.89,0.89,0.89,0.89,F,F,F,0.43,0.89,0.75,F,0.27,0.1,0.13,0.74,0.87,F,F,0.89,0.89,0.89,F,0.89,0.85,F,0.9,0.54,0.37,0.31,0.55,0.55,0.19,0.89,0.85,F,F,0.89,0.89,F,F,F,F,0.9,0.26,0.51,0.39,0.35,F,F,0.9,F,F,F,0.88,0.88,0.82,0.88,F,F,F,0.4,0.38,F,0.26,F,F,0.9,F,F,0.89,F,F,0.89,F,0.79,0.79,0.77,0.38,0.59,0.26,0.3,F,F,0.9,F,0.16,F,0.86,0.89,0.89,0.9,0.85,0.85,0.88,F,F,0.55,0.73,0.21,F,0.9,F,0.89,0.89,0.87,0.88,0.88,0.9,0.89,F,0.89,F,F,F,F,F,F,F,F,F,0.88,0.88,0.89,0.88,0.9,0.89,F,0.9
MOD15A2H.A2000161.h10v09.006.2020046014838.Fpar_500m,MOD15A2H,A2000161,Lat-3.834436Lon-73.31897Samp17Line17,2020046014838,F,F,F,0.26,0.3,0.3,0.3,F,F,F,F,F,F,F,F,F,F,F,F,F,0.2,0.3,0.34,0.29,0.26,0.45,0.28,0.26,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.44,0.26,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.4,0.4,F,F,F,F,F,F,F,F,F,F,F,F,F,0.3,0.34,0.34,0.21,F,F,F,F,F,F,F,F,F,F,F,F,0.21,0.21,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.25,0.25,F,F,F,0.09,F,F,F,F,F,F,F,F,F,0.21,0.24,F,0.24,0.28,F,F,F,0.09,F,F,F,F,F,F,F,F,F,0.24,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.21,0.24,0.24,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.16,0.21,0.25,0.26,F,F,F,F,F,F,F,F,F,0.87,F,0.34,0.34,0.16,0.16,0.16,0.2,F,F,F,F,F,F,F,F,F,F,F,0.34,0.34,0.38,0.45,0.42,F,F,F,F,F,F,0.88,F,F,F,F,0.9,0.22,0.16,0.26,0.3,F,F,F,F,F,F,F,0.85,0.88,F,F,F,F,0.26,0.26,0.25,0.39,F,F,F,F,F,F,F,0.85,0.89,F,F,F,F,F,F,0.21,0.35,0.42,F,F,F,F,F,0.88,F,F,0.88,0.9,0.86,0.86,F,F,0.26,0.26,0.38,F,F,F,0.84,0.84,0.87,F,0.89,F,0.89,F,0.86
MOD15A2H.A2000169.h10v09.006.2020048000236.Fpar_500m,MOD15A2H,A2000169,Lat-3.834436Lon-73.31897Samp17Line17,2020048000236,0.87,0.87,F,0.61,0.61,0.62,0.66,F,F,F,F,F,0.89,0.89,0.88,0.88,0.88,0.88,0.88,F,0.61,0.61,0.62,0.68,0.66,0.65,0.68,0.83,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.87,F,0.7,0.7,0.9,0.89,0.89,0.65,0.68,0.89,0.88,0.88,0.88,0.88,0.88,F,0.88,0.88,0.88,0.7,0.7,0.7,0.72,0.68,0.68,0.89,0.89,0.89,0.89,0.88,0.88,0.88,F,0.87,0.88,0.88,0.67,0.75,0.82,0.7,0.7,0.7,0.89,0.89,0.89,0.89,0.89,0.89,0.88,F,0.88,0.89,0.89,0.89,0.92,0.79,F,0.89,0.89,0.89,0.89,0.88,0.88,0.88,0.89,0.88,0.85,0.66,0.89,0.89,0.89,0.9,0.7,F,0.88,F,0.85,0.86,0.88,0.88,0.88,0.88,0.88,F,0.64,0.64,0.69,0.75,F,0.53,0.68,0.89,F,F,0.88,0.88,0.88,0.88,0.88,0.88,F,0.64,0.64,0.64,0.82,F,F,F,0.89,0.89,0.89,0.89,0.85,0.88,0.9,0.88,0.88,0.88,0.89,0.76,0.64,0.82,0.79,F,F,0.89,0.9,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.9,0.9,0.64,0.61,0.63,0.77,0.9,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.88,0.88,F,0.62,0.6,0.6,0.61,0.61,0.81,0.89,0.89,0.89,0.73,F,F,0.88,0.88,0.89,F,F,0.6,0.6,0.93,0.82,0.61,0.9,0.9,0.89,0.89,F,0.89,0.89,0.89,0.89,F,F,F,0.47,0.51,0.51,0.55,F,0.9,0.89,0.89,0.88,F,0.86,0.89,0.89,0.89,0.82,F,0.82,0.51,0.51,0.51,0.58,F,0.9,0.89,0.89,0.89,0.89,0.88,F,0.89,0.89,0.82,0.9,F,0.88,0.89,0.65,0.65,0.65,0.9,0.89,0.89,0.89,0.89,0.89,F,0.87,0.89,0.89,0.88,0.86,0.89,0.89,0.65,0.65,0.65,0.9,0.89,0.88,0.88,0.88,0.89,0.88,0.87,0.88,0.88,0.89,F
MOD15A2H.A2000177.h10v09.006.2020048050354.Fpar_500m,MOD15A2H,A2000177,Lat-3.834436Lon-73.31897Samp17Line17,2020048050354,F,0.82,F,0.63,0.79,0.79,0.77,F,F,F,F,F,0.88,0.9,0.9,0.9,0.89,F,0.88,F,0.63,0.79,0.83,0.7,0.84,0.79,0.76,0.75,0.86,0.89,0.88,0.88,0.88,0.89,F,F,F,0.8,0.86,0.9,0.89,0.89,0.74,F,0.87,F,F,0.89,0.88,0.88,0.89,F,0.9,0.83,0.78,0.79,0.85,0.84,0.79,0.67,0.84,F,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.74,0.73,0.8,0.75,0.74,0.85,0.9,0.87,0.89,0.9,0.88,0.87,F,0.89,0.87,0.89,0.89,0.9,0.82,0.79,F,0.89,0.89,0.87,0.88,F,0.87,0.88,0.88,0.87,0.9,0.76,0.89,0.89,0.89,0.81,0.68,F,0.55,F,0.87,0.87,0.87,0.86,0.89,0.89,0.89,0.9,0.75,0.78,0.73,0.73,F,0.71,0.59,0.55,F,F,0.89,0.89,0.88,0.88,0.89,0.89,0.88,0.76,0.69,0.78,0.73,F,F,F,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.89,0.89,0.89,0.82,0.79,0.79,0.65,0.75,F,F,0.89,0.89,0.89,0.89,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.83,0.51,0.61,0.66,0.9,0.89,0.89,0.89,0.89,0.88,0.88,0.89,0.89,0.89,0.89,0.86,0.8,0.41,0.41,0.74,0.78,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,F,F,0.89,0.81,0.72,0.34,0.51,0.74,0.9,0.9,0.89,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.63,0.78,0.72,F,F,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.88,0.89,0.89,0.89,0.89,0.79,0.8,0.81,0.47,F,0.89,0.89,0.9,0.89,0.89,0.88,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.81,F,F,0.89,0.89,0.89,0.89,0.89,0.88,F,0.89,0.89,0.89,0.89,0.89,0.9,F,0.89,0.86,0.74,0.9,0.9,0.89,0.88,0.88,0.88,F,F,F,0.9,0.89,0.89
MOD15A2H.A2000185.h10v09.006.2020048075900.Fpar_500m,MOD15A2H,A2000185,Lat-3.834436Lon-73.31897Samp17Line17,2020048075900,F,F,F,0.2,0.2,0.2,0.2,F,F,F,F,F,F,F,F,F,F,F,F,F,0.47,0.2,0.11,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.11,0.11,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.11,0.11,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.16,0.16,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.34,0.34,F,F,F,F,F,F,F,F,F,F,F,0.51,F,F,F,0.34,0.34,F,F,F,0.46,F,F,F,F,F,F,F,0.51,F,F,F,F,0.13,0.14,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.38,0.38,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.42,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.32,F,F,0.31,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2000193.h10v09.006.2020051202601.Fpar_500m,MOD15A2H,A2000193,Lat-3.834436Lon-73.31897Samp17Line17,2020051202601,F,F,F,F,0.26,0.26,0.33,F,F,F,F,F,F,F,F,F,F,F,F,F,0.32,0.38,0.38,0.07,0.61,0.61,F,F,F,F,F,F,F,F,F,0.89,F,0.61,F,F,F,F,0.61,0.4,F,F,F,F,F,F,F,F,F,F,F,0.58,0.58,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.58,0.52,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.19,F,F,F,F,F,F,F,F,0.11,F,F,F,F,F,F,F,0.19,0.19,0.12,0.12,F,F,F,F,F,F,0.87,0.88,F,F,F,F,F,0.19,0.13,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.24,0.16,0.27,0.27,0.49,F,F,0.85,F,F,F,0.83,0.83,0.87,F,F,F,0.21,0.63,0.34,0.34,0.45,0.36,F,0.85,0.85,0.85,0.85,0.85,0.83,0.87,0.87,F,F,F,F,0.34,0.34,0.25,0.25,F,F,F,F,F,F,F,F,F,F,F,0.15,0.15,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.11,0.11,F,F,F,F,F,F,F,F,F,F,F,F,0.64,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.87,0.87,0.87,F,F,F,0.48,0.48,F,F,F,F,F,F,F,F,F,F,0.85,0.85,F,F,0.49,F,F,F,F,F,F,0.89,0.89,0.89,F,F,F,0.9,F
MOD15A2H.A2000201.h10v09.006.2020048193228.Fpar_500m,MOD15A2H,A2000201,Lat-3.834436Lon-73.31897Samp17Line17,2020048193228,F,F,F,0.3,0.3,0.47,0.47,F,F,F,F,F,F,F,F,F,0.89,F,F,F,0.32,0.3,0.47,0.39,0.47,F,F,0.44,F,F,F,F,F,0.89,F,F,F,0.32,0.32,F,F,F,0.4,0.48,F,F,F,F,0.9,F,0.89,F,F,F,0.4,0.32,0.34,0.34,0.4,0.4,F,0.89,0.9,0.9,0.89,0.89,0.89,0.89,F,F,F,0.44,0.44,0.32,0.32,0.43,0.42,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.89,F,F,F,F,0.48,0.45,F,F,F,0.89,0.9,0.9,0.9,0.9,0.89,0.89,0.89,0.11,F,F,F,F,0.59,F,F,F,0.85,0.9,0.9,0.9,0.9,0.89,0.89,F,0.13,0.13,F,F,F,F,0.55,F,F,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.13,0.13,0.13,0.52,F,F,F,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.14,0.48,0.17,0.52,0.52,F,F,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,F,F,F,0.48,0.46,0.42,0.05,F,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.41,0.58,0.58,0.76,0.76,0.09,0.9,0.9,0.9,0.9,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.42,0.51,0.51,0.18,0.76,0.9,F,F,0.9,0.9,0.89,0.89,0.89,0.9,0.9,0.9,0.9,0.4,0.51,0.51,0.15,F,F,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.2,0.35,0.31,0.32,F,F,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,F,0.89,0.89,F,0.9,0.31,0.71,0.52,F,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,F,0.89,0.89,F,F,0.53,0.71,0.52,F,0.9,0.9,0.89,0.89,0.89,0.89,0.89,F,F,0.9,0.9
MOD15A2H.A2000209.h10v09.006.2020048224533.Fpar_500m,MOD15A2H,A2000209,Lat-3.834436Lon-73.31897Samp17Line17,2020048224533,F,0.71,F,0.45,0.53,0.6,0.6,F,F,F,F,F,0.83,0.81,0.81,0.82,0.82,F,0.71,F,0.45,0.62,0.62,0.52,0.71,0.71,0.59,0.68,0.85,0.83,0.81,0.81,0.82,0.86,0.69,0.69,F,0.56,0.65,0.87,0.89,0.88,0.71,0.57,0.85,0.83,F,0.79,0.79,0.79,0.84,F,0.8,0.8,0.62,0.62,0.65,0.58,0.61,0.61,0.79,0.79,F,F,0.79,0.79,0.84,0.84,F,0.84,0.85,0.58,0.58,0.58,0.58,0.53,0.52,0.81,0.79,F,F,0.85,0.85,0.85,0.85,0.85,0.85,0.86,0.86,0.56,0.52,F,0.82,0.82,0.85,0.85,0.87,0.87,0.88,0.88,0.82,F,0.51,0.85,0.85,0.82,0.51,0.52,F,0.78,F,0.74,0.74,F,0.87,0.87,0.84,0.84,F,0.51,0.52,0.53,0.53,F,0.51,0.39,0.87,F,F,0.74,0.85,0.86,0.87,0.87,0.79,F,0.55,0.52,0.63,0.54,F,F,F,0.87,0.84,0.8,0.8,0.87,0.87,0.81,0.81,0.86,F,0.71,0.64,0.64,0.57,0.57,F,F,0.89,0.85,0.8,0.8,0.69,F,0.81,0.86,0.86,0.88,0.88,0.85,0.55,0.51,0.5,0.51,0.81,0.86,0.83,F,F,0.69,F,F,F,0.89,0.89,0.72,0.65,0.65,0.52,0.52,0.59,0.87,0.81,0.85,0.82,0.75,0.74,0.74,F,F,F,F,0.72,0.72,0.72,0.73,0.73,0.89,0.88,0.83,0.79,0.79,0.84,0.84,F,F,F,F,0.84,0.47,0.6,0.6,0.48,F,0.85,0.88,0.85,0.85,0.79,0.84,0.86,0.86,F,F,F,F,0.68,0.6,0.47,0.48,F,0.86,0.86,0.87,0.87,0.8,0.81,0.82,0.82,F,F,F,F,0.87,0.87,0.6,0.6,0.6,0.87,0.84,0.87,0.87,0.84,0.82,0.85,0.85,F,F,F,F,0.86,0.86,0.56,0.56,0.57,0.84,0.84,0.89,0.89,0.85,0.85,F,F,F,F,F,F
MOD15A2H.A2000217.h10v09.006.2020049000028.Fpar_500m,MOD15A2H,A2000217,Lat-3.834436Lon-73.31897Samp17Line17,2020049000028,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.48,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.4,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.89,0.89,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.89,F,F,F,F,F,F,F,0.52,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2000233.h10v09.006.2020050212053.Fpar_500m,MOD15A2H,A2000233,Lat-3.834436Lon-73.31897Samp17Line17,2020050212053,0.87,0.87,F,0.66,0.63,0.61,0.73,F,F,F,F,F,0.89,0.89,0.89,0.89,0.89,0.89,0.87,F,0.66,0.66,0.77,0.63,0.67,0.43,0.54,0.76,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.88,F,0.72,0.72,0.89,0.89,0.9,0.54,0.54,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.62,0.64,0.64,0.63,0.67,0.67,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.89,0.89,0.62,0.63,0.63,0.63,0.67,0.67,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.89,0.89,0.89,0.76,0.76,F,0.88,0.88,0.89,0.88,0.88,0.89,0.89,0.88,0.88,0.88,0.61,0.89,0.89,0.89,0.65,0.68,F,0.88,F,0.88,0.88,0.88,0.88,0.88,0.88,0.9,0.89,0.61,0.61,0.61,0.61,F,0.59,0.55,0.89,F,F,0.88,0.88,0.88,0.88,0.88,0.89,0.89,0.56,0.46,0.5,0.58,F,F,F,0.89,0.88,0.88,0.88,0.88,0.89,0.89,0.89,0.89,0.9,0.58,0.47,0.47,0.47,0.8,F,F,0.89,0.88,0.88,0.88,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.9,0.37,0.37,0.6,0.76,0.89,0.89,0.88,0.89,0.89,0.88,0.88,0.89,0.88,0.88,0.89,0.67,0.45,0.35,0.34,0.3,0.73,0.89,0.88,0.88,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.89,0.67,0.61,0.77,0.77,0.73,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.89,0.63,0.72,0.61,0.59,F,0.9,0.89,0.88,0.89,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.81,0.74,0.23,0.6,F,0.89,0.89,0.89,0.88,0.89,0.88,0.89,0.88,0.89,0.89,0.88,0.88,0.89,0.9,0.78,0.63,0.63,0.89,0.89,0.88,0.9,0.88,0.88,0.88,0.88,0.89,0.89,0.88,0.88,0.89,0.89,0.78,0.73,0.57,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.89,0.89,0.88,0.88
MOD15A2H.A2000241.h10v09.006.2020051030439.Fpar_500m,MOD15A2H,A2000241,Lat-3.834436Lon-73.31897Samp17Line17,2020051030439,0.88,0.88,F,0.59,0.62,0.61,0.72,F,F,F,F,F,0.9,0.89,0.89,0.89,0.89,0.88,0.88,F,0.6,0.72,0.6,0.66,0.78,0.63,0.61,0.77,0.89,0.89,0.89,0.89,0.88,0.89,0.87,0.87,F,0.76,0.78,0.89,0.9,0.9,0.61,0.61,0.9,0.89,0.89,0.89,0.88,0.89,0.89,0.87,0.89,0.89,0.73,0.76,0.75,0.73,0.73,0.61,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.89,0.69,0.69,0.68,0.65,0.67,0.67,0.89,0.89,0.89,0.89,0.89,0.88,0.89,0.89,0.88,0.89,0.89,0.89,0.74,0.68,F,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.88,0.64,0.89,0.89,0.89,0.72,0.69,F,0.85,F,0.84,0.89,0.89,0.89,0.89,0.89,0.88,0.89,0.63,0.7,0.66,0.7,F,0.69,0.49,0.9,F,F,0.87,0.89,0.89,0.89,0.89,0.89,0.88,0.66,0.67,0.72,0.72,F,F,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.73,0.74,0.63,0.6,0.77,F,F,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.9,0.9,0.81,0.57,0.6,0.59,0.9,0.88,0.89,0.89,0.89,0.88,0.88,0.89,0.89,0.89,0.89,0.8,0.76,0.77,0.57,0.55,0.65,0.9,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.78,0.78,0.77,0.8,0.45,0.89,0.89,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.62,0.78,0.73,0.78,F,0.85,0.9,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.81,0.71,0.71,0.62,F,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.89,0.89,0.78,0.73,0.65,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.82,0.82,0.77,0.89,0.89,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9
MOD15A2H.A2000249.h10v09.006.2020051062817.Fpar_500m,MOD15A2H,A2000249,Lat-3.834436Lon-73.31897Samp17Line17,2020051062817,0.9,0.9,F,0.54,0.55,0.42,0.42,F,F,F,F,F,0.83,0.89,0.89,0.89,0.9,0.9,0.9,F,0.55,0.5,0.53,0.67,0.61,F,0.42,0.42,0.9,0.9,0.89,0.89,0.89,0.9,0.86,0.82,F,0.6,0.67,0.89,0.89,F,0.37,0.14,F,0.9,0.9,0.89,0.89,0.89,0.9,0.88,F,F,0.66,0.68,0.35,0.37,0.39,0.39,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.9,F,F,F,0.39,0.39,0.35,0.35,0.39,0.39,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.9,F,F,F,F,0.39,0.35,F,0.8,0.77,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.9,0.54,F,F,F,0.33,0.26,F,F,F,0.85,0.89,0.89,0.89,0.89,0.9,0.89,0.9,0.54,0.41,0.41,0.34,F,0.3,0.55,0.9,F,F,0.89,0.89,0.89,0.89,0.9,0.9,0.9,0.85,0.7,0.7,0.3,F,F,F,F,F,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.41,0.36,0.39,0.39,0.3,F,F,F,F,0.89,0.88,0.88,0.89,0.89,0.89,0.89,0.9,F,0.75,0.39,0.39,0.4,0.37,0.88,0.9,0.89,0.89,0.88,0.88,0.88,0.88,0.89,0.89,0.9,0.26,0.4,0.4,0.31,0.39,0.37,0.88,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.89,0.89,0.9,0.26,0.26,0.31,0.31,0.3,0.9,0.9,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.89,0.89,0.9,0.59,0.37,0.34,0.34,F,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.89,0.9,0.9,0.37,0.37,0.34,0.33,F,F,0.85,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.89,0.89,0.51,0.9,0.9,0.48,0.31,0.26,F,0.89,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.89,0.9,0.83,0.9,0.9,0.31,0.31,0.26,0.9,0.9,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.9,0.9,0.89
